id_caserne,no_caserne,adresse,nom_ssi,coord_x,coord_y
"573","20","2627, rue Principale Sainte-Justine-de-Newton (Québec)  J0P 1T0",SSI Sainte-Justine-de-Newton,-74.403861117486,45.3732694231345
"1212","23","105, 69e avenue Saint-Zotique J0P 1Z0",SSI Saint-Zotique,-74.2841659739649,45.2316688057441
"1210","26","103, rue Huot, Notre-Dame-de-L'île-Perrot J7V 7M4",SSI Pincourt,-73.9544220441713,45.3765616963669
"456",2 - RP,496 rue bernard Roxton Pond J0E1Z0,SSI Roxton Pond,-72.6626463127135,45.4793003915997
"1310","4",1001 Rue Monseigneur-Lévesque Poularies J0Z3E0,SSI Poularies,-78.9843124698364,48.6638822884611
"63","22",  520 rue Vaillancourt Saint-Bernard G0S2G0,SSI Saint-Bernard,-71.1363659102479,46.4978664506732
"45",Ham Nord,"246, rue principale, Ham-Nord, Qc. G0P 1A0",RIM des 3 Monts (R4123),-71.6436764333425,45.9032323484393
"206","50","1025, rue Boulay Acton Vale Acton Vale J0H1A0",SSI Acton Vale,-72.5646475665257,45.6479605709994
"212","25",162 Rue Gabriel Saint-Liboire J0H1R0,SSI Saint-Liboire,-72.7638299594022,45.6487678907516
"226","50","270, rue Valmont, Repentigny J5Y4G5",SSI Repentigny,-73.4376975526461,45.7656676832824
"233","35",150 rue St-Louis St-Marcel-de-Richelieu Saint-Marcel-de-Richelieu J0H1T0,SSI Saint-Marcel-de-Richelieu,-72.8984379677952,45.8617129817791
"235","70","790, St-Pierre Massueville, Qc, J0G 1K0 Massueville J0G1K0",RIM-Louis-Aimé-Massue (R4115),-72.936401714484,45.9123198722674
"237","32",2611 StPierre Saint-Ours J0G1P0,SSI Saint-Ours,-73.1495868379146,45.8863031866257
"242","20","750, rue des loisirs saint-nazaire-d'acton Saint-Nazaire-d'Acton J0H1V0",SSI Saint-Nazaire-d'Acton,-72.6179801759609,45.7390964643157
"243","45","379, 7e Avenue, Ste-Hélène Sainte-Hélène-de-Bagot J0H1M0",SSI Sainte-Hélène-de-Bagot,-72.7351643702115,45.730059939716
"70","31",  188 rue Ste-Geneviève Saint-Isidore G0S2S0,SSI Saint-Isidore (26063),-71.0895592633812,46.5859432525869
"1241","60","17 route 122 Sainte-Clothilde-de-Horton, Qc. J0A 1H0",SSI Notre-Dame-du-Bon-Conseil,-72.2385497909761,45.993436418471
"1565","0","519, rue Décary, Saint- Gabriel-de-Valcartier",SSI Base de Valcartier,-71.494123462346,46.8900290434791
"1258","3","1490, rue Principale, Saint-Stanislas, G0X 3E0",SSI Saint-Stanislas,-72.3853497110526,46.6138481817473
"471",15 - SP, 95 Rue Martin Saint-Pie J0H1W0,SSI Saint-Pie,-72.9097234133721,45.5081688951862
"473","85",41 rue du Manoir Saint-David J0G1L0,SSI Saint-David,-72.8563879854009,45.9551083654015
"465",65 - SVM,1365 rue Principale St-Valérien Saint-Valérien-de-Milton J0H2B0,SSI Saint-Valérien-de-Milton,-72.7110607544486,45.5647900536436
"360","43","9, rue Industrielle  Grande-Vallée G0E1K0",SSI Grande-Vallée,-65.1329965333731,49.2218413101336
"359","44","472, Route 132 Cloridorme Cloridorme G0E1G0",SSI Cloridorme,-64.8501434377801,49.1813490685905
